Facility name,Location,Country,County,Description,Objectives,Partners,Start Date,Project Type,Year,Month,GOPDClientsSeenPerMonth,CWCClientsSeenPerMonth,ANCClientsSeenPerMonth,PNCClientsSeenPerMonth,FPClientsSeenPerMonth,DeliveriesCompletedPerMonth
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2017",Exploration,2016-Jan,Jan,765,84,66,15,43,28
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2017",Exploration,2016-Feb,Feb,854,100,55,42,64,22
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2017",Exploration,2016-Mar,Mar,749,74,44,39,78,27
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2017",Exploration,2016-Apr,Apr,616,93,35,33,67,20
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2017",Exploration,2016-May,May,1075,103,49,32,48,17
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2018",Exploration,2016-June,Jun,1173,0,66,18,21,18
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2019",Exploration,2016-Jul,Jul,993,0,78,18,54,24
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2020",Exploration,2016-Aug,Aug,746,0,59,11,29,28
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2021",Exploration,2016-Sept,Sep,1008,0,63,14,40,30
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2022",Exploration,2016-Oct,Oct,1448,0,124,17,42,29
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2023",Exploration,2016-Nov,Nov,1004,0,65,24,46,30
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2024",Exploration,2016-Dec,Dec,668,89,46,13,60,25
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2025",Exploration,2017-Jan,Jan,744,59,40,17,51,23
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2026",Exploration,2017-Feb,Feb,1688,362,96,7,9,26
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2027",Exploration,2017-Mar,Mar,968,362,166,15,42,27
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2028",Exploration,2017-Apr,Apr,959,393,79,23,57,31
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2029",Exploration,2017-May,May,1172,416,46,16,14,29
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2030",Exploration,2017-Jun,Jun,1255,415,68,15,11,0
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2031",Exploration,2017-Jul,Jul,1378,306,85,38,54,29
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2032",Exploration,2017-Aug,Aug,871,356,57,47,18,33
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2033",Exploration,2017-Sept,Sep,819,362,87,18,9,19
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2034",Exploration,2017-Oct,Oct,1094,363,76,21,44,18
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2035",Exploration,2017-Nov,Nov,942,342,86,0,27,20
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2036",Exploration,2017-Dec,Dec,1157,243,118,30,32,25
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2037",Exploration,2018-Jan,Jan,1895,95,116,19,41,29
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2038",Exploration,2018-Feb,Feb,1326,88,95,37,67,38
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2039",Exploration,2018-Mar,Mar,1157,136,112,58,87,47
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2040",Exploration,2018-Apr,Apr,1438,223,61,71,112,40
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2041",Exploration,2018-May,May,1989,218,54,72,121,44
