facility_name,Year,Month,IMMUNIZATION_CLIENTS_SEEN_PER_MONTH,FP_CLIENTS_SEEN_PER_MONTH,CURATIVE_CLIENTS_SEEN_PER_MONTH,ANC_CLIENTS_SEEN_PER_MONTH
Diepsloot,2017-Apr,Apr,391,130,0,0
Diepsloot,2017-May,May,541,166,0,0
Diepsloot,2017-Jun,Jun,518,211,0,0
Diepsloot,2017-Jul,Jul,586,140,0,0
Diepsloot,2017-Aug,Aug,656,178,2,0
Diepsloot,2017-Sept,Sep,466,156,0,0
Diepsloot,2017-Oct,Oct,503,179,0,0
Diepsloot,2017-Nov,Nov,482,144,0,0
Diepsloot,2017-Dec,Dec,225,104,0,0
Diepsloot,2018-Jan,Jan,459,96,0,0
Diepsloot,2018-Feb,Feb,489,190,3,0
Diepsloot,2018-Mar,Mar,697,184,20,0
Diepsloot,2018-Apr,Apr,628,198,19,0
Diepsloot,2018-May,May,567,158,37,0
Diepsloot,2018-Jun,Jun,541,168,22,0
Diepsloot,2018-Jul,Jul,591,176,12,0
Diepsloot,2018-Aug,Aug,623,328,20,0
Diepsloot,2018-Sep,Sep,534,216,12,0
Diepsloot,2018-Oct,Oct,472,166,3,0
Diepsloot,2018-Nov,Nov,673,273,4,0
Diepsloot,2018-Dec,Dec,318,99,7,0
Diepsloot,2019-Jan,Jan,476,195,4,0
Diepsloot,2019-Feb,Feb,609,145,16,0
Diepsloot,2019-Mar,Mar,560,136,13,0
Diepsloot,2019-Apr,Apr,514,201,20,10
Diepsloot,2019-May,May,470,112,20,14
Diepsloot,2019-Jun,Jun,519,85,15,12
Diepsloot,2019-Jul,Jul,699,172,20,19
Diepsloot,2019-Aug,Aug,492,58,2,12
Diepsloot,2019-Sep,Sep,622,78,28,12
Diepsloot,2019-Oct,Oct,733,148,47,100
Diepsloot,2019-Nov,Nov,669,88,26,38
Diepsloot,2019-Dec,Dec,464,72,26,56
Diepsloot,2020-Jan,Jan,545,99,6,71
Diepsloot,2020-Feb,Feb,645,100,14,141
Diepsloot,2020-Mar,Mar,554,57,8,58
Diepsloot,2020-Apr,Apr,429,34,8,53
Diepsloot,2020-May,May,592,39,13,43
Diepsloot,2020-Jun,Jun,564,57,10,64
Diepsloot,2020-Jul,Jul,680,21,8,62
Diepsloot,2020-Aug,Aug,759,60,21,87
Diepsloot,2020-Sep,Sep,765,34,49,113
Diepsloot,2020-Oct,Oct,579,60,63,123
Diepsloot,2020-Nov,Nov,533,14,19,33
Diepsloot,2020-Dec,Dec,366,16,45,61
Diepsloot,2021-Jan,Jan,632,21,35,78
Diepsloot,2021-Feb,Feb,729,15,52,127
Diepsloot,2021-Mar,Mar,894,15,76,116
Diepsloot,2021-Apr,Apr,630,8,46,139
Diepsloot,2021-May,May,586,11,89,114
Diepsloot,2021-Jun,Jun,487,19,156,123
,,,28756,5830,1116,1879
