Facility name,Location,Country,County,Description,Objectives,Partners,Start Date,Project Type,Year,Month,GOPDClientsSeenPerMonth,CWCClientsSeenPerMonth,ANCClientsSeenPerMonth,PNCClientsSeenPerMonth,FPClientsSeenPerMonth,DeliveriesCompletedPerMonth
Tutini,"Makueni, Kenya",Kenya,Makueni,"The Partnership for Primary Care (P4PC) model involves outsourcing the operation of primary health facilities to the Philips/Amref partnership. A feasibility pilot has been ongoing since 2019, the pilot has involved upgrading of Emali health center, Matiku and Tutini dispensaries and documentation of lessons learnt. The pilot will inform the scaling of the project to other facilities in Makueni County.","To address access to primary health care through improvements in quality of care, engagement of communities, financial sustainability, and system efficiency. ","Philips, Amref and Makueni County","March, 2019",Feasibility Pilot (Commercial),2018-Jan,Jan,531,51,4,3,31,1
Tutini,"Makueni, Kenya",Kenya,Makueni,"The Partnership for Primary Care (P4PC) model involves outsourcing the operation of primary health facilities to the Philips/Amref partnership. A feasibility pilot has been ongoing since 2019, the pilot has involved upgrading of Emali health center, Matiku and Tutini dispensaries and documentation of lessons learnt. The pilot will inform the scaling of the project to other facilities in Makueni County.","To address access to primary health care through improvements in quality of care, engagement of communities, financial sustainability, and system efficiency. ","Philips, Amref and Makueni County","March, 2019",Feasibility Pilot (Commercial),2018-Feb,Feb,499,60,4,5,0,0
Tutini,"Makueni, Kenya",Kenya,Makueni,"The Partnership for Primary Care (P4PC) model involves outsourcing the operation of primary health facilities to the Philips/Amref partnership. A feasibility pilot has been ongoing since 2019, the pilot has involved upgrading of Emali health center, Matiku and Tutini dispensaries and documentation of lessons learnt. The pilot will inform the scaling of the project to other facilities in Makueni County.","To address access to primary health care through improvements in quality of care, engagement of communities, financial sustainability, and system efficiency. ","Philips, Amref and Makueni County","March, 2019",Feasibility Pilot (Commercial),2018-Mar,Mar,484,52,7,3,36,0
Tutini,"Makueni, Kenya",Kenya,Makueni,"The Partnership for Primary Care (P4PC) model involves outsourcing the operation of primary health facilities to the Philips/Amref partnership. A feasibility pilot has been ongoing since 2019, the pilot has involved upgrading of Emali health center, Matiku and Tutini dispensaries and documentation of lessons learnt. The pilot will inform the scaling of the project to other facilities in Makueni County.","To address access to primary health care through improvements in quality of care, engagement of communities, financial sustainability, and system efficiency. ","Philips, Amref and Makueni County","March, 2019",Feasibility Pilot (Commercial),2018-Apr,Apr,565,56,11,3,23,1
Tutini,"Makueni, Kenya",Kenya,Makueni,"The Partnership for Primary Care (P4PC) model involves outsourcing the operation of primary health facilities to the Philips/Amref partnership. A feasibility pilot has been ongoing since 2019, the pilot has involved upgrading of Emali health center, Matiku and Tutini dispensaries and documentation of lessons learnt. The pilot will inform the scaling of the project to other facilities in Makueni County.","To address access to primary health care through improvements in quality of care, engagement of communities, financial sustainability, and system efficiency. ","Philips, Amref and Makueni County","March, 2019",Feasibility Pilot (Commercial),2018-May,May,726,59,9,4,21,2
Tutini,"Makueni, Kenya",Kenya,Makueni,"The Partnership for Primary Care (P4PC) model involves outsourcing the operation of primary health facilities to the Philips/Amref partnership. A feasibility pilot has been ongoing since 2019, the pilot has involved upgrading of Emali health center, Matiku and Tutini dispensaries and documentation of lessons learnt. The pilot will inform the scaling of the project to other facilities in Makueni County.","To address access to primary health care through improvements in quality of care, engagement of communities, financial sustainability, and system efficiency. ","Philips, Amref and Makueni County","March, 2019",Feasibility Pilot (Commercial),2018-Jun,Jun,548,51,9,6,31,1
Tutini,"Makueni, Kenya",Kenya,Makueni,"The Partnership for Primary Care (P4PC) model involves outsourcing the operation of primary health facilities to the Philips/Amref partnership. A feasibility pilot has been ongoing since 2019, the pilot has involved upgrading of Emali health center, Matiku and Tutini dispensaries and documentation of lessons learnt. The pilot will inform the scaling of the project to other facilities in Makueni County.","To address access to primary health care through improvements in quality of care, engagement of communities, financial sustainability, and system efficiency. ","Philips, Amref and Makueni County","March, 2019",Feasibility Pilot (Commercial),2018-Jul,Jul,807,46,7,7,30,1
Tutini,"Makueni, Kenya",Kenya,Makueni,"The Partnership for Primary Care (P4PC) model involves outsourcing the operation of primary health facilities to the Philips/Amref partnership. A feasibility pilot has been ongoing since 2019, the pilot has involved upgrading of Emali health center, Matiku and Tutini dispensaries and documentation of lessons learnt. The pilot will inform the scaling of the project to other facilities in Makueni County.","To address access to primary health care through improvements in quality of care, engagement of communities, financial sustainability, and system efficiency. ","Philips, Amref and Makueni County","March, 2019",Feasibility Pilot (Commercial),2018-Aug,Aug,608,41,4,6,29,0
Tutini,"Makueni, Kenya",Kenya,Makueni,"The Partnership for Primary Care (P4PC) model involves outsourcing the operation of primary health facilities to the Philips/Amref partnership. A feasibility pilot has been ongoing since 2019, the pilot has involved upgrading of Emali health center, Matiku and Tutini dispensaries and documentation of lessons learnt. The pilot will inform the scaling of the project to other facilities in Makueni County.","To address access to primary health care through improvements in quality of care, engagement of communities, financial sustainability, and system efficiency. ","Philips, Amref and Makueni County","March, 2019",Feasibility Pilot (Commercial),2018-Sept,Sep,733,43,5,3,26,1
Tutini,"Makueni, Kenya",Kenya,Makueni,"The Partnership for Primary Care (P4PC) model involves outsourcing the operation of primary health facilities to the Philips/Amref partnership. A feasibility pilot has been ongoing since 2019, the pilot has involved upgrading of Emali health center, Matiku and Tutini dispensaries and documentation of lessons learnt. The pilot will inform the scaling of the project to other facilities in Makueni County.","To address access to primary health care through improvements in quality of care, engagement of communities, financial sustainability, and system efficiency. ","Philips, Amref and Makueni County","March, 2019",Feasibility Pilot (Commercial),2018-Oct,Oct,708,60,6,5,30,2
