Facility name,Location,Country,County,Description,Objectives,Partners,Start Date,Project Type,Year,Month,GOPD,CWC,ANC,PNC,FP,Deliveries
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2017",Exploration,2016,Jan,765,84,66,15,43,28
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2017",Exploration,2016,Feb,854,100,55,42,64,22
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2017",Exploration,2016,Mar,749,74,44,39,78,27
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2017",Exploration,2016,Apr,616,93,35,33,67,20
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2017",Exploration,2016,May,1075,103,49,32,48,17
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2018",Exploration,2016,Jun,1173,0,66,18,21,18
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2019",Exploration,2016,Jul,993,0,78,18,54,24
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2020",Exploration,2016,Aug,746,0,59,11,29,28
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2021",Exploration,2016,Sep,1008,0,63,14,40,30
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2022",Exploration,2016,Oct,1448,0,124,17,42,29
